person_name,person_english_name
,Cho Ging-Man
梁十一,Leung Sap-Yat
,Peter Lai Bei-Dak
江道海,Benz Kong
吴大维,David Wu
黄智贤,Ben Wong
叶竞生,Baat Leung-Gam
,Mak Hiu-Wai
,Cheng Ka-Sang
,Pomson Shi
施介强,Sze Kai-Keung
,Ha Chi-Jan
,Yvonne Yung Hung
陈宝国,Chen Baoguo
,Jimmy White
汤镇业,Kent Tong
鬼冢,Kwai Chung
,Law Ho-Kai
,Stephen Chang Gwong-Chin
,Chan Ging
,Mok Mei-Lam
,Pak Man-Biu
杨群,Peter Yang Kwan
,Alex Ng Hong-Ling
,Tse Wai-Kit
冯小刚,Feng Xiaogang
,Zhao Lei
梁克逊,Leung Hak-Shun
,Dai Lung
冯元炽,Fung Yuen-Chi
,Kirk Wong Chi-Keung
黄一山,Gabriel Wong
,May Law Koon-Lan
,You Liping
,Radium Cheung
梁锦燊,Leung Gam-San
刘永,Lau Wing-Foo
,Sarah Lee Lai-Yui
,Andrew Wu Ying-Kin
,So Hon-Sang
段伟伦,William Duen
,Yip San
黎海珊,Perrie Lai Hoi-San
,Ricky Yi Fan-Wai
,Alan Ng Siu-Hung
,Lung Ming-Yan
陈国邦,Power Chan
,Yu Miu-Lin
黄杏秀,Cecilia Wong Hang-Sau
陈美琪,Maggie Chan Mei-Kei
,Pang Chi-Ching
,Ho-Wai Mak
陈曼娜,Mannor Chan
卢宛茵,Angelina Lo Yuen-Yen
吴育枢,Jackson Ng
,Chan Yuen-Kai
邓浩光,Anthony Tang
,Yiu Wai
,Nancy Lan Sai
,Johnny Dang Siu-Juen
,Gilbert Lam Wai-San
古巨基,Leo Ku
梅小惠,Cutie Mui Siu-Wai
,Chan Yuet-Yue
梁荣忠,Joey Leung
,Garry Chan Chi-Shing
洪同剑,Hung Tung-Kim
,Chang Gan-Wing
,San Tak-Kan
,Celia Sze Lim-Tse
,Chow Chi-Fai
黄志强,Wong Chi-Keung
,Ben Wong Tin-Dok
简达华,Kan Tat-Wah
雷达,Lui Tat
,Chang Kin-Ming
,Lau Yuk-Gei
麦洁文,Connie Mak
,Vindy Chan
,Lo Hung
,Chiu Jun-Chiu
,Chow Yee-Fan
,Jacky Cheung Chun-Hung
李强,Li Qiang
,Bill Lung Biu
,Chan San-Hiu
,Saul Bamberger
,Peter Mahlangu
,Bo Kaesje
,Elias Meintjies
,Chow Mei-Yan
,Heung Dip
谭淑梅,Carol Tam Suk-Mui
,Cheri Ho Pui-Yee
,Jonathan Chik Gei-Yee
,Cheng Kwun-Min
,Elaine Law Suet-Ling
,Chan Tung
刘仪伟,Liu Yi-Wei
梁韵蕊,Anglie Leung Wan-Yui
朱铁和,Chu Tit-Wo
,Leung Yuen-Jing
颜丽如,Jo Jo Ngan
,Lau Cheun
左颂昇,Rico Chu Tak-On
黄莺,Wong Aau
陈明君,Bessie Chan
,Tung Chi
古明华,Ku Ming-Wah
黄贻青,Wong Yee Ching
林琪欣,Josephine Lam
,Lo Fan
王均康,Wong Kwan-Hong
陆树铭,Luk Shu-Ming
,Seung Yee
张武孝,Albert Cheung
,Tse Ning
陈剑云,Chan Kim-Wan
,Charles Shen
,Sing Yan
刘沙,Liu Sha
,Wang Jian
,Jin Xin
,Wong Bing
修宗迪,Sau Chung-Dik
杨晓丹,Yang Xiao-Dan
,Donald Freeman
司马燕,Si-Ma Yin
,Joyce Chan Yin-Hang
,Mei Yee
黄美琪,Maggie Wong
,Kwok Kwan-Shing
,Leung Shiu-Choi
,Kwok Chi-Ho
,Wong Chak-Man
何沛东,Ricky Ho
,Dave Lam Ching
,Leung Si-Ho
,Jacqueline Li
,Kai Shi Chen
,Cally Kwong
,Chow Cheong-Wa
,Shing Fu-On
,Leung Sam
徐婉薇,Debbie Chui
,Ng Yuen-Sam
